
Element    z       f'      f"      a1      b1      a2      b2      a3      b3      a4      b4      c       a5      b5
Cd            48    0.00    0.00  0.6364  0.2407  1.4247  1.6823  2.7802  5.6588  2.5973 20.7219    0.00  1.7886 69.1109
In            49    0.00    0.00  0.6768  0.2522  1.6589  1.8545   2.774  6.2936  3.1835 25.1457    0.00  2.1326 84.5448
Sn            50    0.00    0.00  0.7224  0.2651   1.961  2.0604  2.7161  7.3011  3.5603 27.5493    0.00  1.8972 81.3349
Sb            51    0.00    0.00  0.7106  0.2562  1.9247  1.9646  2.6149  6.8852  3.8322 24.7648    0.00  1.8899 68.9168
Te            52    0.00    0.00  0.6947  0.2459   1.869  1.8542  2.5356  6.4411  4.0013  22.173    0.00  1.8955 59.2206
I             53    0.00    0.00  0.7047  0.2455  1.9484  1.8638   2.594  6.7639  4.1526 21.8007    0.00  1.5057 56.4395
Xe            54    0.00    0.00  0.6737  0.2305  1.7908   1.689  2.4129  5.8218    4.21 18.3928    0.00  1.7058 47.2496
Cs            55    0.00    0.00  1.2704  0.4356  3.8018  4.2058  5.6618 23.4342  0.9205136.7783    0.00  4.8105171.7561
Ba            56    0.00    0.00  0.9049  0.3066  2.6076  2.4363  4.8498 12.1821  5.1603 54.6135    0.00  4.7388161.9978
La            57    0.00    0.00  0.8405  0.2791  2.3863   2.141  4.6139   10.34  5.1514 41.9148    0.00  4.7949132.0204
Ce            58    0.00    0.00  0.8551  0.2805  2.3915    2.12  4.5772 10.1808  5.0278 42.0633    0.00  4.5118130.9893
Pr            59    0.00    0.00  0.9096  0.2939  2.5313  2.2471  4.5266 10.8266  4.6376 48.8842    0.00   4.369 147.602
Nd            60    0.00    0.00  0.8807  0.2802  2.4183  2.0836  4.4448 10.0357  4.6858 47.4506    0.00  4.1725146.9976
Pm            61    0.00    0.00  0.9471  0.2977  2.5463  2.2276  4.3523 10.5762  4.4789 49.3619    0.00   3.908 145.358
Sm            62    0.00    0.00  0.9699  0.3003  2.5837  2.2447  4.2778 10.6487  4.4575 50.7994    0.00  3.5985146.4179
Eu            63    0.00    0.00  0.8694  0.2653  2.2413   1.859  3.9196  8.3998  3.9694 36.7397    0.00  4.5498125.7089
Gd            64    0.00    0.00  0.9673  0.2909  2.4702  2.1014  4.1148  9.7067  4.4972  43.427    0.00  3.2099125.9474
Tb            65    0.00    0.00  0.9325  0.2761  2.3673  1.9511  3.8791  8.9296  3.9674 41.5937    0.00  3.7996131.0122
Dy            66    0.00    0.00  0.9505  0.2773  2.3705  1.9469  3.8218  8.8862  4.0471 43.0938    0.00  3.4451133.1396
Ho            67    0.00    0.00  0.9248   0.266  2.2428  1.8183  3.6182  7.9655   3.791 33.1129    0.00  3.7912101.8139
Er            68    0.00    0.00  1.0373  0.2944  2.4824  2.0797  3.6558  9.4156  3.8925 45.8056    0.00  3.0056 132.772
Tm            69    0.00    0.00  1.0075  0.2816  2.3787  1.9486   3.544  8.7162  3.6932  41.842    0.00  3.1759 125.032
yb            70    0.00    0.00  1.0347  0.2855  2.3911  1.9679  3.4619  8.7619  3.6556 42.3304    0.00  3.0052125.6499
Lu            71    0.00    0.00  0.9927  0.2701  2.2436  1.8073  3.3554  7.8112  3.7813 34.4849    0.00  3.0994103.3526
Hf            72    0.00    0.00  1.0295  0.2761  2.2911  1.8625   3.411  8.0961  3.9497 34.2712    0.00  2.4925 98.5295
Ta            73    0.00    0.00   1.019  0.2694  2.2291  1.7962  3.4097  7.6944  3.9252 31.0942    0.00  2.2679 91.1089
w             74    0.00    0.00  0.9853  0.2569  2.1167  1.6745   3.357  7.0098  3.7981 26.9234    0.00  2.2798  81.391
Re            75    0.00    0.00  0.9914  0.2548  2.0858  1.6518  3.4531  6.8845  3.8812 26.7234    0.00  1.8526 81.7215
Os            76    0.00    0.00  0.9813  0.2487  2.0322  1.5973  3.3665  6.4737  3.6235 23.2817    0.00  1.9741 70.9254
Ir            77    0.00    0.00  1.0194  0.2554  2.0645  1.6475  3.4425  6.5966  3.4914 23.2269    0.00  1.6976 70.0272
Pt            78    0.00    0.00  0.9148  0.2263  1.8096  1.3813  3.2134  5.3243  3.2953 17.5987    0.00  1.5754 60.0171
Au            79    0.00    0.00  0.9674  0.2358  1.8916  1.4712  3.3993  5.6758  3.0524 18.7119    0.00  1.2607 61.5286
Hg            80    0.00    0.00  1.0033  0.2413  1.9469  1.5298  3.4396  5.8009  3.1548  19.452    0.00   1.418 60.5753
Tl            81    0.00    0.00  1.0689   0.254  2.1038  1.6715  3.6039  6.3509  3.4927 23.1531    0.00  1.8283 78.7099
Pb            82    0.00    0.00  1.0891  0.2552  2.1867  1.7174   3.616  6.5131  3.8031  23.917    0.00  1.8994 74.7039
Bi            83    0.00    0.00  1.1007  0.2546  2.2306  1.7351  3.5689  6.4948  4.1549 23.6464    0.00  2.0382  70.378
Po            84    0.00    0.00  1.1568  0.2648  2.4353  1.8786  3.6459  7.1749  4.4064 25.1766    0.00  1.7179 69.2821
At            85    0.00    0.00  1.0909  0.2466  2.1976  1.6707  3.3831  6.0197    4.67 20.7657    0.00  2.1277 57.2663
Rn            86    0.00    0.00  1.0756  0.2402   2.163  1.6169  3.3178  5.7644  4.8852 19.4568    0.00  2.0489 52.5009
Fr            87    0.00    0.00  1.4282  0.3183  3.5081  2.6889  5.6767 13.4816  4.1964 54.3866    0.00  3.8946200.8321
Ra            88    0.00    0.00  1.3127  0.2887  3.1243  2.2897  5.2988 10.8276  5.3891 43.5389    0.00  5.4133145.6109
Ac            89    0.00    0.00  1.3128  0.2861  3.1021  2.2509  5.3385 10.5287  5.9611 41.7796    0.00  4.7562128.2973
Th            90    0.00    0.00  1.2553  0.2701  2.9178  2.0636  5.0862  9.3051  6.1206 34.5977    0.00  4.7122  107.92
Pa            91    0.00    0.00  1.3218  0.2827  3.1444   2.225  5.4371 10.2454  5.6444 41.1162    0.00  4.0107124.4449
U             92    0.00    0.00  1.3382  0.2838  3.2043  2.2452  5.4558 10.2519  5.4839 41.7251    0.00  3.6342124.9023
Np            93    0.00    0.00  1.5193  0.3213  4.0053  2.8206  6.5327 14.8878 -0.1402 68.9103    0.00  6.7489 81.7257
Pu            94    0.00    0.00  1.3517  0.2813  3.2937  2.2418  5.3213  9.9952  4.6466 42.7939    0.00  3.5714132.1739
Am            95    0.00    0.00  1.2135  0.2483  2.7962  1.8437  4.7545  7.5421  4.5731 29.3841    0.00  4.4786112.4579
Cm            96    0.00    0.00  1.2937  2.0341    3.11  8.7101  5.0393 35.29924.75463.109.4972    0.00  0.2638
Bk            97    0.00    0.00  1.2915  0.2611  3.1023  2.0023  4.9309  8.4377  4.6009 34.1559    0.00  3.4661105.8911
Cf            98    0.00    0.00  1.2089  0.2421  2.7391  1.7487  4.3482  6.7262  4.0047 23.2153    0.00  4.6497 80.3108
